"beacon","year","month","day","hour","minute","lat","lon","airTemp","batt","atmPres","FormatID","obs","gps_time","speed"
"BUOY1.",2013,2,19,0,0,68.0702,-64.52,-21,10.4,0,40,1,2013-02-19 00:00:00,0
"BUOY1.",2013,2,19,1,0,68.0702,-64.52,-21,10.4,0,40,2,2013-02-19 01:00:00,0
"BUOY1.",2013,2,19,2,0,68.0702,-64.52,-21.3,10.4,0,40,3,2013-02-19 02:00:00,0
"BUOY1.",2013,2,19,3,0,68.0702,-64.52,-21.7,10.4,0,40,4,2013-02-19 03:00:00,0
"BUOY1.",2013,2,19,4,0,68.0702,-64.52,-22,10.4,0,40,5,2013-02-19 04:00:00,0
"BUOY1.",2013,2,19,5,0,68.0702,-64.52,-22.1,10.4,0,40,6,2013-02-19 05:00:00,0
"BUOY1.",2013,2,19,6,0,68.0702,-64.52,-22,10.4,0,40,7,2013-02-19 06:00:00,0
"BUOY1.",2013,2,19,7,0,68.0702,-64.52,-21.9,10.4,0,40,8,2013-02-19 07:00:00,0
"BUOY1.",2013,2,19,8,0,68.0702,-64.52,-21.7,10.4,0,40,9,2013-02-19 08:00:00,0
"BUOY1.",2013,2,19,9,0,68.0702,-64.5202,-21.7,10.4,0,40,10,2013-02-19 09:00:00,0
"BUOY1.",2013,2,19,10,0,68.0702,-64.52,-21.6,10.4,0,40,11,2013-02-19 10:00:00,0
"BUOY1.",2013,2,19,11,0,68.0702,-64.52,-21.6,10.4,0,40,12,2013-02-19 11:00:00,0
"BUOY1.",2013,2,19,12,0,68.0702,-64.52,-21.6,10.4,0,40,13,2013-02-19 12:00:00,0
"BUOY1.",2013,2,19,13,0,68.0702,-64.52,-21.6,10.4,0,40,14,2013-02-19 13:00:00,0
"BUOY1.",2013,2,19,14,0,68.0702,-64.52,-21.4,10.4,0,40,15,2013-02-19 14:00:00,0
"BUOY1.",2013,2,19,15,0,68.0702,-64.5196,-21.2,10.4,0,40,16,2013-02-19 15:00:00,0
"BUOY1.",2013,2,19,16,0,68.0702,-64.5198,-20.9,10.4,0,40,17,2013-02-19 16:00:00,0
"BUOY1.",2013,2,19,17,0,68.0702,-64.52,-20.7,10.4,0,40,18,2013-02-19 17:00:00,0
"BUOY1.",2013,2,19,18,0,68.0702,-64.52,-20.5,10.4,0,40,19,2013-02-19 18:00:00,0
"BUOY1.",2013,2,19,19,0,68.0702,-64.5202,-20.5,10.4,0,40,20,2013-02-19 19:00:00,0
"BUOY1.",2013,2,19,20,0,68.0702,-64.52,-20.6,10.4,0,40,21,2013-02-19 20:00:00,0
