IMEI,Year,Month,Day,Hour,Minute,Latitude,Longitude,Temperature,Voltage Battery,AtmPress,FormatID
3.00034E+14,2012,1,2,13,0,74.5143,-93.72573333,-99,9,-99,0
3.00034E+14,2012,1,2,13,10,74.51431667,-93.72573333,-99,9,-99,0
3.00034E+14,2012,1,2,13,20,74.51431667,-93.72571667,-99,9,-99,0
3.00034E+14,2012,1,2,13,30,74.51431667,-93.72573333,-99,9,-99,0
3.00034E+14,2012,1,2,13,40,74.5143,-93.72571667,-99,9,-99,0
3.00034E+14,2012,1,2,13,50,74.51431667,-93.72573333,-99,9,-99,0
3.00034E+14,2012,7,10,16,0,74.4508,-91.77156667,-99,8,-99,0
3.00034E+14,2012,7,10,16,10,74.4508,-91.77155,-99,8,-99,0
3.00034E+14,2012,7,10,16,20,74.4508,-91.77156667,-99,8,-99,0
3.00034E+14,2012,7,10,16,30,74.4508,-91.77156667,-99,8,-99,0
3.00034E+14,2012,7,10,16,40,74.4508,-91.77156667,-99,8,-99,0
3.00034E+14,2012,7,10,16,50,74.45081667,-91.77156667,-99,8,-99,0
3.00034E+14,2012,4,26,3,0,74.44578333,-91.70075,-99,8,-99,0
3.00034E+14,2012,4,26,3,10,74.4458,-91.70073333,-99,8,-99,0
3.00034E+14,2012,4,26,3,20,74.4458,-91.70075,-99,8,-99,0
3.00034E+14,2012,4,26,3,30,74.4458,-91.70075,-99,8,-99,0
3.00034E+14,2012,4,26,3,40,74.44578333,-91.70073333,-99,8,-99,0
3.00034E+14,2012,4,26,3,50,74.4458,-91.70073333,-99,8,-99,0
3.00034E+14,2012,5,7,18,0,74.44581667,-91.70071667,-99,8,-99,0
3.00034E+14,2012,5,7,18,10,74.44583333,-91.7007,-99,8,-99,0
3.00034E+14,2012,5,7,18,20,74.44583333,-91.70071667,-99,8,-99,0
3.00034E+14,2012,5,7,18,30,74.44583333,-91.7007,-99,8,-99,0
3.00034E+14,2012,5,7,18,40,74.44583333,-91.7007,-99,8,-99,0
3.00034E+14,2012,5,7,18,50,74.44581667,-91.7007,-99,8,-99,0
3.00034E+14,2012,5,26,3,0,74.4458,-91.70066667,-99,8,-99,0
3.00034E+14,2012,5,26,3,10,74.44581667,-91.70065,-99,8,-99,0
3.00034E+14,2012,5,26,3,20,74.44581667,-91.70065,-99,8,-99,0
3.00034E+14,2012,5,26,3,30,74.44581667,-91.70066667,-99,8,-99,0
3.00034E+14,2012,5,26,3,40,74.44581667,-91.70065,-99,8,-99,0
3.00034E+14,2012,5,26,3,50,74.44581667,-91.70065,-99,8,-99,0
3.00034E+14,2012,4,6,15,0,74.4458,-91.70068333,-99,8,-99,0
3.00034E+14,2012,4,6,15,10,74.44581667,-91.70066667,-99,8,-99,0
3.00034E+14,2012,4,6,15,20,74.44581667,-91.70068333,-99,8,-99,0
3.00034E+14,2012,4,6,15,30,74.44581667,-91.70066667,-99,8,-99,0
3.00034E+14,2012,4,6,15,40,74.44581667,-91.70066667,-99,8,-99,0
