"UTC date/time","Unix UTC timestamp","lat","lon","callsign","wind from","knots","gust","barometer","air temp","dew point","water temp"
"2013-Feb-21 1329", 1361453340, 68.462000, -65.246000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1318", 1361452680, 68.462000, -65.246000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1316", 1361452560, 68.462000, -65.246000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1256", 1361451360, 68.461000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1251", 1361451060, 68.462000, -65.246000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1247", 1361450820, 68.462000, -65.246000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1243", 1361450580, 68.461000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1156", 1361447760, 68.461000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1104", 1361444640, 68.461000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1016", 1361441760, 68.461000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 1003", 1361440980, 68.463000, -65.254000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0921", 1361438460, 68.463000, -65.254000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0918", 1361438280, 68.463000, -65.254000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0834", 1361435640, 68.462000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0823", 1361434980, 68.462000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0739", 1361432340, 68.462000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0648", 1361429280, 68.462000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0643", 1361428980, 68.462000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0227", 1361413620, 68.463000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0120", 1361409600, 68.463000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0053", 1361407980, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-21 0051", 1361407860, 68.463000, -65.240000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2343", 1361403780, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2339", 1361403540, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2337", 1361403420, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2317", 1361402220, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2312", 1361401920, 68.461000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2308", 1361401680, 68.462000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2203", 1361397780, 68.461000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2200", 1361397600, 68.461000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2135", 1361396100, 68.461000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2125", 1361395500, 68.461000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2121", 1361395260, 68.461000, -65.232000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 2119", 1361395140, 68.465000, -65.218000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1942", 1361389320, 68.465000, -65.218000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1938", 1361389080, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1844", 1361385840, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1841", 1361385660, 68.461000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1831", 1361385060, 68.461000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1810", 1361383800, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1802", 1361383320, 68.461000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1702", 1361379720, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1659", 1361379540, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1658", 1361379480, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1655", 1361379300, 68.461000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1649", 1361378940, 68.459000, -65.236000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1525", 1361373900, 68.461000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1519", 1361373540, 68.461000, -65.244000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1513", 1361373180, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1505", 1361372700, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1456", 1361372160, 68.460000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1443", 1361371380, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1343", 1361367780, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1329", 1361366940, 68.462000, -65.250000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1321", 1361366460, 68.463000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
