Asset Name,Modem Id,Date(GMT),GPS LATITUDE (DEGREES),GPS LONGITUDE (DEGREES),FORMAT ID,YEAR,MONTH,DAY (day),HOUR (hr),MINUTE (min),Sea Surface Temperature (ﾰC),Battery Voltage (V),Time Since Last GPS fix (min),GPS reported Signal to Noise ratio (dB),Time to First fix (s),Iridium Transmission Duration (s),Hex Data
BUOY_4,3.00234E+14,26/09/2012 18:00,66.9386,-61.7528,40,2012,9,26,18,0,3.6,14.2,0,44,8,37,28192d480fff3e7ffffb897fc002fe4d520b0812ff
BUOY_4,3.00234E+14,26/09/2012 17:00,66.9446,-61.7684,40,2012,9,26,17,0,3.5,14.2,0,44,32,30,28192d440fff3dfffffb87bfc002fe54d20a6c42ff
BUOY_4,3.00234E+14,26/09/2012 16:00,66.9644,-61.7984,40,2012,9,26,16,0,3.5,14.2,0,44,8,30,28192d400fff3dfffffb87bfc002fe6d92094012ff
BUOY_4,3.00234E+14,26/09/2012 15:00,66.9786,-61.8356,40,2012,9,26,15,0,3.6,14.2,0,48,8,30,28192d3c0fff3e7ffffb87bfc002fe7f5207cc133f
BUOY_4,3.00234E+14,26/09/2012 14:00,66.9918,-61.8446,40,2012,9,26,14,0,3.6,14.2,0,48,32,30,28192d380fff3e7ffffb87bfc002fe8fd20772433f
BUOY_4,3.00234E+14,26/09/2012 13:00,66.9988,-61.8502,40,2012,9,26,13,0,3.6,14.2,0,44,14,30,28192d340fff3e7ffffb87bfc002fe9892073a1eff
BUOY_4,3.00234E+14,26/09/2012 12:00,66.9978,-61.8448,40,2012,9,26,12,0,3.6,14.2,0,44,32,30,28192d300fff3e7ffffb87bfc002fe9752077042ff
BUOY_4,3.00234E+14,26/09/2012 11:00,66.9938,-61.8338,40,2012,9,26,11,0,3.5,14.2,0,44,10,30,28192d2c0fff3dfffffb87bfc002fe925207de16ff
BUOY_4,3.00234E+14,26/09/2012 10:00,66.9892,-61.8108,40,2012,9,26,10,0,3.6,14.2,0,44,30,30,28192d280fff3e7ffffb87bfc002fe8c9208c43eff
BUOY_4,3.00234E+14,26/09/2012 9:00,66.9874,-61.7864,40,2012,9,26,9,0,3.6,14.2,0,44,6,30,28192d240fff3e7ffffb87bfc002fe8a5209b80eff
BUOY_4,3.00234E+14,26/09/2012 8:00,66.9876,-61.7656,40,2012,9,26,8,0,3.6,14.2,0,48,30,30,28192d200fff3e7ffffb87bfc002fe8a920a883f3f
BUOY_4,3.00234E+14,26/09/2012 7:00,66.9896,-61.7474,40,2012,9,26,7,0,3.6,14.2,0,44,30,30,28192d1c0fff3e7ffffb87bfc002fe8d120b3e3eff
BUOY_4,3.00234E+14,26/09/2012 6:00,66.9954,-61.746,40,2012,9,26,6,0,3.6,14.2,0,48,8,30,28192d180fff3e7ffffb87bfc002fe94520b4c133f
BUOY_4,3.00234E+14,26/09/2012 5:00,67.004,-61.7556,40,2012,9,26,5,0,3.6,14.2,0,44,30,30,28192d140fff3e7ffffb87bfc002fe9f120aec3eff
BUOY_4,3.00234E+14,26/09/2012 4:00,67.0156,-61.7734,40,2012,9,26,4,0,3.6,14.2,0,48,8,30,28192d100fff3e7ffffb87bfc002fead920a3a133f
BUOY_4,3.00234E+14,26/09/2012 3:00,67.0292,-61.7946,40,2012,9,26,3,0,3.6,14.2,0,48,32,30,28192d0c0fff3e7ffffb87bfc002febe920966433f
BUOY_4,3.00234E+14,26/09/2012 2:00,67.0408,-61.8156,40,2012,9,26,2,0,3.4,14.2,0,44,8,30,28192d080fff3d7ffffb87bfc002fecd12089412ff
BUOY_4,3.00234E+14,26/09/2012 1:00,67.0518,-61.8286,40,2012,9,26,1,0,3.4,14.2,0,44,32,30,28192d040fff3d7ffffb87bfc002fedad2081242ff
BUOY_4,3.00234E+14,26/09/2012 0:00,67.0578,-61.8472,40,2012,9,26,0,0,3.4,14.2,0,44,8,30,28192d000fff3d7ffffb87bfc002fee252075812ff
BUOY_4,3.00234E+14,25/09/2012 23:00,67.06,-61.8564,40,2012,9,25,23,0,2.2,14.2,0,48,8,30,28192cdc0fff377ffffb87bfc002fee51206fc133f
BUOY_4,3.00234E+14,25/09/2012 22:00,67.0604,-61.8542,40,2012,9,25,22,0,3.4,14.2,0,48,32,30,28192cd80fff3d7ffffb87bfc002fee5920712433f
BUOY_4,3.00234E+14,25/09/2012 21:00,67.056,-61.8406,40,2012,9,25,21,0,2.1,14.2,0,44,6,30,28192cd40fff36fffffb87bfc002fee012079a0eff
BUOY_4,3.00234E+14,25/09/2012 20:56,67.056,-61.8408,40,2012,9,25,20,56,2.1,14.2,4095,44,38,0,28192cd38fff36fffffb803ffffefee01207984eff
BUOY_4,3.00234E+14,25/09/2012 20:00,67.0546,-61.8406,40,2012,9,25,20,0,5.2,14.2,0,48,8,30,28192cd00fff467ffffb87bfc002fede52079a133f
BUOY_4,3.00234E+14,25/09/2012 19:00,67.0546,-61.8406,40,2012,9,25,19,0,6.1,14.2,0,48,8,30,28192ccc0fff4afffffb87bfc002fede52079a133f
BUOY_4,3.00234E+14,25/09/2012 18:00,67.0546,-61.8406,40,2012,9,25,18,0,3.7,14.2,0,48,32,30,28192cc80fff3efffffb87bfc002fede52079a433f
BUOY_4,3.00234E+14,25/09/2012 17:00,67.0546,-61.8406,40,2012,9,25,17,0,4.2,14.2,0,48,8,30,28192cc40fff417ffffb87bfc002fede52079a133f
BUOY_4,3.00234E+14,25/09/2012 16:00,67.0546,-61.8406,40,2012,9,25,16,0,4.4,14.2,0,48,8,30,28192cc00fff427ffffb87bfc002fede52079a133f
BUOY_4,3.00234E+14,25/09/2012 15:00,67.0546,-61.8406,40,2012,9,25,15,0,5.1,14.2,0,48,32,30,28192cbc0fff45fffffb87bfc002fede52079a433f
BUOY_4,3.00234E+14,25/09/2012 14:00,67.0546,-61.8406,40,2012,9,25,14,0,4,14.2,0,48,10,30,28192cb80fff407ffffb87bfc002fede52079a173f
BUOY_4,3.00234E+14,25/09/2012 13:00,67.0546,-61.8406,40,2012,9,25,13,0,2,14.2,0,48,8,30,28192cb40fff367ffffb87bfc002fede52079a133f
BUOY_4,3.00234E+14,25/09/2012 12:00,67.0546,-61.8406,40,2012,9,25,12,0,1.4,14.2,0,48,30,30,28192cb00fff337ffffb87bfc002fede52079a3f3f
